"","Feedingtype","MeanLogPredatorMass","MedianLogPredatorMass","MeanLogPreyMass","MedianLogPreyMass","MeanLogMassRatio","MedianLogMassRatio"
"1","insectivorous",1.71752969478494,-0.042385716496438,-9.10355874158041,-10.0267857688806,-8.68328856587381,-9.52253701019155
"2","piscivorous",9.86169760777711,7.97246601597457,3.6692066637197,1.81807677754543,-3.3824944883702,-5.61677109766657
"3","planktivorous",7.93629266790568,-3.83506196429202,-0.633306947362509,-13.9524764130374,-6.73978247877062,-9.83051853266954
"4","predacious",9.2526030723012,6.4118182677099,2.63728205264136,-1.66600826392249,-3.64416394938302,-8.32505158844131
"5","predacious/piscivorous",6.63939831147624,6.38012253689976,3.08606657072906,2.61006979274201,-3.05074937072455,-3.71028336277709
